,Rank,Title,Artist
0,1,Gata Only,FloyyMenor X Cris Mj
1,2,Coa Xorete,Lucky Brown
2,3,Daytona,Cris Mj
3,4,Enrolar,Kidd Voodoo & DrefQuila
4,5,Bastardo,Pablo Chill-E Featuring Nengo Flow & Jere Klein
5,6,Ma Diamante,ITHAN NY & Ak4:20
6,7,Ese Guille,Kidd Voodoo & Pablo Chill-E
7,8,Princesita de ...,"Jere Klein, Nickoog Clk, Lucky Brown & El Bai"
8,9,Luna,Feid & ATL Jacob
9,10,El Amor de Tu Vida,Gino Mella X Jairo Vera X Yandel X Lenny Tavarez X Best
10,11,Minnie <3,Kidd Voodoo & Daiko 02
11,12,Diabolica,Cris Mj Featuring Dei V
12,13,La Falda,Myke Towers
13,14,Vida Peligrosa,Standly
14,15,Piel,Tiago PZK X Ke personajes
15,16,Loca Farandulera,Jere Klein & Cris Mj
16,17,Recuerdame </3,Kidd Voodoo
17,18,Cual Es Su Nombre?,Lucky Brown & Jere Klein
18,19,Una Foto,Mesita X NICKI NICOLE X Tiago PZK X Emilia
19,20,Ando,Jere Klein
20,21,BBY BOO,"iZaak, Jhayco & Anuel AA"
21,22,Grabandote:),Kidd Voodoo
22,23,No Hay 14.F,Jere Klein
23,24,Tas Texteandome,Katteyes & Kidd Voodoo
24,25,Fashion Girl,Kidd Voodoo & Young Cister
